type,label,coar_uri,label_es
article,RESEARCH ARTICLE,http://purl.org/coar/resource_type/c_2df8fbb1,ARTÍCULO ORIGINAL
book,BOOK,http://purl.org/coar/resource_type/c_2f33,LIBRO
book-chapter,BOOK PART,http://purl.org/coar/resource_type/c_3248,CAPÍTULO DE LIBRO
dataset,DATASET,http://purl.org/coar/resource_type/c_ddb1,CONJUNTO DE DATOS
dissertation,TEXT,http://purl.org/coar/resource_type/c_18cf,TEXTO
editorial,EDITORIAL,http://purl.org/coar/resource_type/c_b239,EDITORIAL
erratum,CORRIGENDUM,http://purl.org/coar/resource_type/c_7acd,CORRIGENDA
letter,LETTER,http://purl.org/coar/resource_type/c_0857,CARTA
other,OTHER,http://purl.org/coar/resource_type/c_1843,OTROS
paratext,OTHER,http://purl.org/coar/resource_type/c_1843,OTROS
peer-review,PEER REVIEW,http://purl.org/coar/resource_type/H9BQ-739P,REVISIÓN POR PARES
preprint,PREPRINT,http://purl.org/coar/resource_type/c_816b,ARTÍCULO PRELIMINAR
report,REPORT,http://purl.org/coar/resource_type/c_93fc,INFORME
review,REVIEW,http://purl.org/coar/resource_type/c_efa0,RESEÑA