column,short_id,element,qualifier
type,dc,type,
version,cic,version,
title,dc,title,
subtitle,dcterms,title,subtitle
titleAlternative,dcterms,alternative,alternative
titleInvestigacion,dcterms,title,investigacion
corporate,dcterms,creator,corporate
author,dcterms,creator,author
compilator,dcterms,creator,compilator
editor,dcterms,creator,editor
director,dcterms,contributor,director
abstract,dcterms,abstract,
ciclo,dcterms,relation,ciclo
lugarDesarrollo,cic,lugarDesarrollo,
institucionOrigen,cic,institucionOrigen,
dateAccessioned,dc,date,accesioned
dateIssued,dcterms,issued,
dateAvailable,dc,date,available
materia,dcterms,subject,materia
area,dcterms,subject,area
subject,dcterms,subject,
spatial,dcterms,spatial,
language,dcterms,language,
extent,dcterms,extent,
publisher,dcterms,publisher,
embargoPeriod,dcterms,rights,embargoPeriod
handle,dc,identifier,uri
url,dcterms,identifier,url
isbn,dcterms,identifier,isbn
other,dcterms,identifier,other
degree,cic,thesis,degree
grantor,cic,thesis,grantor
description,dcterms,description,
provenance,dc,description,provenance
isPartOfItem,dcterms,isPartOf,item
isPartOfIssue,dcterms,isPartOf,issue
isPartOfSeries,dcterms,isPartOf,series
relation,dcterms,relation,
hasPart,dcterms,hasPart,
isVersionOf,dcterms,isVersionOf,
isPeerReviewed,cic,isPeerReviewed,
isFulltext,cic,isFulltext,
license,dcterms,license,