"language_key","language_ietf_tag","language_label_en"
3,"NOT_SET","NOT_SET"
4,"af","AFRIKAANS"
5,"am","AMHARIC"
6,"ar","ARABIC"
7,"arn","MAPUDUNGUN"
8,"as","ASSAMESE"
9,"az","AZERBAIJANI"
10,"ba","BASHKIR"
11,"be","BELARUSIAN"
12,"bg","BULGARIAN"
13,"bn","BENGALI"
14,"bo","TIBETAN"
15,"br","BRETON"
16,"bs","BOSNIAN"
17,"ca","CATALAN"
18,"co","CORSICAN"
19,"cs","CZECH"
20,"cy","WELSH"
21,"da","DANISH"
22,"de","GERMAN"
23,"dsb","LOWER SORBIAN"
24,"dv","DIVEHI"
25,"el","GREEK"
26,"en","ENGLISH"
27,"es","SPANISH"
28,"et","ESTONIAN"
29,"eu","BASQUE"
30,"fa","PERSIAN"
31,"fi","FINNISH"
32,"fil","FILIPINO"
33,"fo","FAROESE"
34,"fr","FRENCH"
35,"fy","FRISIAN"
36,"ga","IRISH"
37,"gd","SCOTTISH GAELIC"
38,"gl","GALICIAN"
39,"gsw","SWISS GERMAN"
40,"gu","GUJARATI"
41,"ha","HAUSA"
42,"he","HEBREW"
43,"hi","HINDI"
44,"hr","CROATIAN"
45,"hsb","UPPER SORBIAN"
46,"hu","HUNGARIAN"
47,"hy","ARMENIAN"
48,"id","INDONESIAN"
49,"ig","IGBO"
50,"ii","YI"
51,"is","ICELANDIC"
52,"it","ITALIAN"
53,"iu","INUKTITUT"
54,"ja","JAPANESE"
55,"ka","GEORGIAN"
56,"kk","KAZAKH"
57,"kl","GREENLANDIC"
58,"km","KHMER"
59,"kn","KANNADA"
60,"ko","KOREAN"
61,"kok","KONKANI"
62,"ckb","KURDI"
63,"ky","KYRGYZ"
64,"lb","LUXEMBOURGISH"
65,"lo","LAO"
66,"lt","LITHUANIAN"
67,"lv","LATVIAN"
68,"mi","MAORI"
69,"mk","MACEDONIAN"
70,"ml","MALAYALAM"
71,"mn","MONGOLIAN"
72,"moh","MOHAWK"
73,"mr","MARATHI"
74,"ms","MALAY"
75,"mt","MALTESE"
76,"my","BURMESE"
77,"nb","NORWEGIAN (BOKMÃ…L)"
78,"ne","NEPALI"
79,"nl","DUTCH"
80,"nn","NORWEGIAN (NYNORSK)"
81,"no","NORWEGIAN"
82,"st","SESOTHO"
83,"oc","OCCITAN"
84,"or","ODIA"
85,"pa","PUNJABI"
86,"pl","POLISH"
87,"prs","DARI"
88,"ps","PASHTO"
89,"pt","PORTUGUESE"
90,"quc","KICHE"
91,"qu","QUECHUA"
92,"rm","ROMANSH"
93,"ro","ROMANIAN"
94,"ru","RUSSIAN"
95,"rw","KINYARWANDA"
96,"sa","SANSKRIT"
97,"sah","YAKUT"
98,"se","SAMI (NORTHERN)"
99,"si","SINHALA"
100,"sk","SLOVAK"
101,"sl","SLOVENIAN"
102,"sma","SAMI (SOUTHERN)"
103,"smj","SAMI (LULE)"
104,"smn","SAMI (INARI)"
105,"sms","SAMI (SKOLT)"
106,"sq","ALBANIAN"
107,"sr","SERBIAN"
108,"sv","SWEDISH"
109,"sw","KISWAHILI"
110,"syc","SYRIAC"
111,"ta","TAMIL"
112,"te","TELUGU"
113,"tg","TAJIK"
114,"th","THAI"
115,"tk","TURKMEN"
116,"tn","TSWANA"
117,"tr","TURKISH"
118,"tt","TATAR"
119,"tzm","TAMAZIGHT"
120,"ug","UYGHUR"
121,"uk","UKRAINIAN"
122,"ur","URDU"
123,"uz","UZBEK"
124,"vi","VIETNAMESE"
125,"wo","WOLOF"
126,"xh","XHOSA"
127,"yo","YORUBA"
128,"zh","CHINESE"
129,"zu","ZULU"
