resourcetype,label,coar_uri,label_es
conference paper,CONFERENCE PAPER,http://purl.org/coar/resource_type/c_5794,COMUNICACIÓN DE CONGRESO
Preprint,PREPRINT,http://purl.org/coar/resource_type/c_816b,ARTÍCULO PRELIMINAR
journal article,JOURNAL ARTICLE,http://purl.org/coar/resource_type/c_6501,ARTÍCULO
1,UNKNOWN,#N/A,#N/A
38,UNKNOWN,#N/A,#N/A
Theses,THESIS,http://purl.org/coar/resource_type/c_46ec,TESIS
Conference object,CONFERENCE OUTPUT,http://purl.org/coar/resource_type/c_c94f,CONTRIBUCIÓN DE CONGRESO
book part,BOOK PART,http://purl.org/coar/resource_type/c_3248,CAPÍTULO DE LIBRO
Review,REVIEW,http://purl.org/coar/resource_type/c_efa0,RESEÑA
research article,RESEARCH ARTICLE,http://purl.org/coar/resource_type/c_2df8fbb1,ARTÍCULO ORIGINAL
UNKNOWN,UNKNOWN,#N/A,#N/A
4,UNKNOWN,#N/A,#N/A
Journal articles,JOURNAL ARTICLE,http://purl.org/coar/resource_type/c_6501,ARTÍCULO
Part of book or chapter of book,BOOK PART,http://purl.org/coar/resource_type/c_3248,CAPÍTULO DE LIBRO
Article,JOURNAL ARTICLE,http://purl.org/coar/resource_type/c_6501,ARTÍCULO
Report,REPORT,http://purl.org/coar/resource_type/c_93fc,INFORME
working paper,WORKING PAPER,http://purl.org/coar/resource_type/c_8042,DOCUMENTO DE TRABAJO
Other literature type,OTHER,http://purl.org/coar/resource_type/c_1843,OTROS
Book,BOOK,http://purl.org/coar/resource_type/c_2f33,LIBRO
review article,REVIEW ARTICLE,http://purl.org/coar/resource_type/c_dcae04bc,ARTÍCULO DE REVISIÓN